,URL,Content,Source
0,https://www.scu.edu/financialaid/cost-of-attendance/,"For specific information on Santa Clara University tuitions, fees, housing, meal plans and other related charges, please refer the University's tuition and fees. For graduate students, the Cost of Attendance is projected at 12 units. Please keep in mind that enrollment of less than 12 units will result in COA being adjusted and aid will be reduced as needed to reflect actual enrollment during the first week of classes. Request for additional educational-related expenses, such as child care, additional course expenses, or a one-time purchase of a computer, are viewed on a case-by-case basis. As you are reviewing the costs, you may want to learn how to apply for financial aid, how we determine financial aid, the types of aid and other consumer information.         500 El Camino RealSanta Clara, CA 95053(408) 554-4000 © 2024 Santa Clara University",www.scu.edu
1,https://www.scu.edu/financialaid/types-of-aid/scholarships-and-grants/federal-grants/,"The Federal Pell Grant is a federally funded grant awarded by the U.S. Department of Education. The Federal Supplement Educational Opportunity Grant (FSEOG) is a federally funded grant awarded by the Financial Aid Office. The Teacher Education Assistance for College and Higher Education Grant (TEACH Grant) program provides a federal grant to post-baccalaureate and graduate students who agree to serve for at least four years as full-time teachers in high-need fields in public or not-for-profit private elementary or secondary schools that serve students from low-income families. NOTE: If you fail to complete this service obligation, all amounts of TEACH Grants that you received will be converted to an unsubsidized Federal Direct Loan. You must then repay this loan to the U.S. Department of Education. You will be charged interest from the date the grant was disbursed and will need to pay back interest as well as accruing interest for the rest of your repayment period. The Iraq-Afghanistan Service Grant is a federally funded grant awarded to students whose parent or guardian was a member of the U.S. Armed Forces, and died as a result of service performed in Iraq or Afghanistan after September 11, 2001. The grant award is equal to the amount of a maximum Federal Pell Grant for the award year not to exceed the cost of attendance for that award year. 500 El Camino RealSanta Clara, CA 95053(408) 554-4000 © 2024 Santa Clara University",www.scu.edu
2,https://www.scu.edu/financialaid/deadlines/,"Early Decision CSS/Financial Aid profile due Early Action CSS/Financial Aid profile due Regular Decision CSS/Financial Aid profile dueEarly Decision, Early Action, & Regular Decision FAFSA priority deadline Early Decision II Enrollment Deposit deadline Cal Grant GPA Verification form due to California Student Aid Commission   500 El Camino RealSanta Clara, CA 95053(408) 554-4000 © 2024 Santa Clara University",www.scu.edu
3,https://www.scu.edu/financialaid/financial-aid-basics/satisfactory-academic-progress---graduate/,"Satisfactory Academic Progress (SAP) are the standards students must meet to ensure that they are successfully completing coursework and can continue to receive Title IV and SCU financial aid. To remain eligible for Title IV programs and institutional aid, students must be making satisfactory academic progress in accordance with the U.S. Department of Education regulations. All graduate students who are applying for financial aid must adhere to the Satisfactory Academic Progress (SAP) policy across all programs and enrollment levels. This policy holds students accountable for meeting academic progress requirements, regardless of whether or not they have previously received financial aid. If a student fails to meet these requirements, they will not be eligible for financial assistance.  Graduate students are evaluated at the end of Spring term and Summer term after the Registrar has released official grades. SAP is comprised of three components GPA, PACE and MAX. After the review of all standards at the end of each term, there are two possible outcomes. Qualitative Standard (GPA). Students must maintain a cumulative grade point average of 3.0 or higher. On a 4.0 scale. NOTE: Some Santa Clara University graduate programs require a higher cumulative grade point average than the federal minimum (academic purposes not aid eligibility). Students must check with the graduate program office.  Quantitative Standard (PACE). Students must maintain a cumulative 67% completion rate for all units attempted toward their academic programs. Pace is determined by dividing the cumulative number of units you have earned by the cumulative number of units you have attempted. Maximum Attempted Units Allowed (MAX). Students must complete the requirements for their academic programs within 150% of the minimum units required to complete their academic programs (varies by program). Students who have reached their maximum attempted units allowed are ineligible for additional financial aid. Students may appeal for financial aid probation status if they believe their circumstances warrant an exception to this standard. Courses with Pass grades will count toward your total hours for the cumulative completion rate for federal financial aid. However, Pass grades will not count in the GPA calculation. Courses that earn NP grades will count as attempted but not completed, and could impact your eligibility for federal aid. P/NP options may not be available in all graduate programs. Graduate students should refer to their program office for additional guidance. Incompletes (I), Withdrawals (W), Failures (F), and/or repeated courses will adversely affect a student's completion rate. Students must complete the minimum number of units to fulfill federal, state, and University requirements. Completion rates are calculated cumulatively and will include all quarters/semesters that the student was enrolled, whether or not the student received financial aid. (I) grades are not included in the GPA calculation and are considered a non-completion of attempted coursework (for PACE) until the grade is replaced with a permanent grade and academic progress can be re-evaluated. Students who wish to withdraw from Santa Clara University must contact their graduate school advisor. Depending on the date of withdrawal, a student may automatically be assigned a withdrawal grade (W) and may not be eligible for a tuition refund. The program advisor will advise students on what to expect and /or what to be prepared for. Students who abandon their classes will receive a failing grade, impacting their qualitative and quantitative SAP requirements. Students who withdraw from their program are still responsible for any financial commitment made to both the university and loan provider(s). IMPORTANT: Any student leaving Santa Clara University at the conclusion of any quarter should also contact their graduate program. Graduate students should contact their program office to discuss their options for repeating courses. In most cases if repeated courses are allowed, the repeated course is used in the calculation of the student's grade point average (this may not be the case for all programs please check with your program office). Units are awarded toward graduation only once for each course passed. There could be extenuating circumstances encountered by students that may affect their ability to be academically successful during an enrollment period. These circumstances include personal injury or illness that occurs during an enrollment period; death of an immediate family member or legal guardian during an enrollment period; or other documented circumstances that were unexpected in nature and beyond control of the student. In these cases, cumulative grade point average or completion rate may decline resulting in the student not meeting the minimum qualitative and quantitative standards previously described. If a student wishes to appeal financial aid suspension, a Satisfactory Academic Progress (SAP) Appeal Form must be submitted to the Financial Aid Office. If the appeal is approved, the student will be placed on financial aid probation (separate from academic probation) and will be notified of the appeal results in writing.  Students who have lost eligibility to participate in federal, state, and University aid programs for reasons of academic progress, can regain that eligibility only by enrolling at Santa Clara University at their own expense. The mere passage of time will not restore eligibility to a student who has lost eligibility for failure to make satisfactory academic progress. Students who have been dismissed from Santa Clara University for academic reasons, but who are subsequently readmitted are not automatically eligible to participate in federal, state, or institutional aid programs and will be placed on financial aid warning/or suspension. Re-admission decisions are separate from funding decisions. Students who failed to meet satisfactory academic progress and who choose to enroll without financial aid may request a review of their academic record after any term in which they are enrolled without the receipt of financial aid. If the standards are met at the time of review, eligibility may be regained for subsequent terms of enrollment in the academic year. 500 El Camino RealSanta Clara, CA 95053(408) 554-4000 © 2024 Santa Clara University",www.scu.edu
4,https://www.scu.edu/financialaid/financial-aid-basics/satisfactory-academic-progress---undergraduate/,"Satisfactory Academic Progress (SAP) are the standards students must meet to ensure that they are successfully completing coursework and can continue to receive Title IV and SCU financial aid. To remain eligible for Title IV programs and institutional aid, students must be making satisfactory academic progress in accordance with the U.S. Department of Education regulations. All undergraduate students who are applying for financial aid must adhere to the Satisfactory Academic Progress (SAP) policy across all programs and enrollment levels. This policy holds students accountable for meeting academic progress requirements, regardless of whether or not they have previously received financial aid. If a student fails to meet these requirements, they will not be eligible for financial assistance.  Undergraduate students are evaluated for SAP at the end of each term (Fall, Winter, Spring and Summer) after the Registrar has released official grades. SAP is comprised of three components GPA, PACE and MAX. After the review of all standards at the end of each term, there are three possible outcomes. Qualitative Standard (GPA). Students must maintain a cumulative grade point average of 2.0 or higher. This cumulative grade point average is 2.0 on a 4.0 scale. NOTE: Some Santa Clara University aid programs require a higher cumulative grade point average than the federal minimum. Quantitative Standard (PACE). Students must maintain a cumulative sixty-seven percent completion rate for all units attempted toward their academic programs. Example of 67% Minimum Pace of Completion Calculation: SCU Attempted Units  12 Transfer Units Accepted +6 Total Attempted Units =18 Total Successfully Completed  12 12 successfully completed units/18 attempted units=0.667 Pace of Completion. Maximum Attempted Units Allowed (MAX). Students must complete the requirements for their academic programs within one-hundred fifty percent of the minimum units required to complete their academic programs. Units attempted include all units transferred into Santa Clara University from prior institutions that can be used to satisfy students' academic program requirements. Students who have reached their maximum attempted units allowed are ineligible for additional financial aid. Students may appeal for financial aid probation status if they believe their circumstances warrant an exception to this standard. Unit credit, but not grade point credit, is awarded when the grade of ""P"" is assigned. Unit credit is not awarded when the grade of ""NP"" is assigned. A P/NP will be considered when evaluating PACE.  All transfer credits accepted by SCU are included in the attempted and completed calculations for Pace. Transfer credit is not included in the GPA calculation. Incompletes (I), Withdrawals (W), Failures (F), and/or repeated courses will adversely affect a student's completion rate. Students must complete the minimum number of units to fulfill federal, state, and University requirements. Completion rates are calculated cumulatively and will include all quarters that the student was enrolled, whether or not the student received financial aid. (I) grades are not included in the GPA calculation and are considered a non-completion of attempted coursework (for PACE) until the grade is replaced with a permanent grade and academic progress can be re-evaluated. Students who wish to withdraw from Santa Clara University during a quarter must complete a withdrawal form and an exit interview in the Drahmann Advising and Learning Resource Center. If the formal requirements for withdrawal are met, the student's registration will be canceled without academic penalty. A withdrawal notation (W) will be assigned for each course from which the student withdraws after the fourth week of the quarter. Students who leave Santa Clara University during a quarter without formally withdrawing are subject to failing grades in all courses in which they were registered and are ineligible for refund of fees. IMPORTANT: Any student leaving Santa Clara University at the conclusion of any quarter should also complete the standard withdrawal process. Students may only repeat a course in which they have received a grade of less than C minus (C-). In such cases, only the highest grade for the repeated course will be applied in the GPA calculation. Certain courses, such as special topics courses and performance courses, are repeatable, and students will receive a grade and units for each successful completion. There may be extenuating circumstances encountered by a student that may affect his/her ability to be academically successful during an enrollment period. These circumstances include personal injury or illness that occurs during an enrollment period; death of an immediate family member or legal guardian during an enrollment period; or other documented circumstances that were unexpected in nature and beyond control of the student. In these cases, cumulative grade point average or completion rate may decline resulting in the student not meeting the minimum qualitative and quantitative standards previously described. If a student wishes to appeal a financial aid suspension, a Satisfactory Academic Progress (SAP) Appeal Form must be submitted to the Financial Aid Office. If the appeal is approved, s/he will be placed on financial aid probation (separate from academic probation). Students will be notified of the appeal results in writing.  Denied: If a student's appeal is denied, they will receive an email notification through their Workday account. In this case, the student will not be eligible for Title IV aid and/or SCU institutional aid. Approved: If a student's appeal is approved, they will receive an email notification through their Workday account. The student will be placed on probation. While on probation students will be able to receive Title IV aid and/or SCU institutional aid for the term they are enrolled in as they work towards meeting SAP standards. A student who has lost eligibility to participate in federal, state, and University aid programs for reasons of academic progress can regain that eligibility only by enrolling at Santa Clara University at his/her own expense. The mere passage of time will not restore eligibility to a student who has lost eligibility for failure to make satisfactory academic progress. Students who have been dismissed from Santa Clara University for academic reasons, but who are subsequently re-admitted are not automatically eligible to participate in federal, state, or institutional aid programs and will be placed on financial aid warning. Re-admission decisions are separate from funding decisions. Students who failed to meet satisfactory academic progress and who choose to enroll without financial aid may request a review of their academic record after any term in which they are enrolled without the receipt of financial aid. If the standards are met at the time of review, eligibility may be regained for subsequent terms of enrollment in the academic year. 500 El Camino RealSanta Clara, CA 95053(408) 554-4000 © 2024 Santa Clara University",www.scu.edu
5,https://www.scu.edu/financialaid/new-fafsa-for-2024-2025/,"Alert icon
Disclaimer
SCU’s Financial Aid Office is dedicated to providing timely updates to students, families, and our community. Due to the significant amount of changes that are occurring, portions of our website may not yet be 100% accurate for the 2024-2025 academic year. We’ll continue to update this page as we receive more information from the Department of Education and Federal Student Aid, and appreciate your patience as we work to implement changes brought by the FAFSA Simplification Act.  The FAFSA Simplification Act is an initiative by the United States Department of Education to make applying for federal student aid easier for students. It is the first major redesign of the FAFSA process in over 40 years and presents a significant overhaul of federal student aid. The Act impacts the 2024-25 FAFSA form, federal need analysis, and requires modification of policies and procedures for schools that participate in federal student aid programs. Significant Changes Include: Simplified Application Process: Expanded Eligibility for Federal Pell Grant: Reduced Barriers for Applicants: Change from Expected Family Contribution (EFC) to Student Aid Index (SAI): Difference in FAFSA Questions: Potential Negative SAI: All Contributors must provide financial information   500 El Camino RealSanta Clara, CA 95053(408) 554-4000 © 2024 Santa Clara University",www.scu.edu
6,https://www.scu.edu/johnsonscholars/about-the-programaward/,"The Johnson Scholars Program is funded by a generous gift from donors Rupert and Maryellie Johnson. Santa Clara University’s Johnson Scholars Program offers exceptionally talented, high-achieving students an extraordinary opportunity to develop the leadership skills, knowledge, and commitment required to help build a better world. The program is an integral part of a rigorous, honors-level undergraduate education, but with the privileges and challenges associated with joining a distinctive community of scholars. Students selected as Johnson Scholars receive a merit scholarship covering full tuition during the academic year, renewable annually for up to four years. In addition, the University is committed to fully meeting the demonstrated financial need of each Johnson Scholar. Upon completion of required financial aid forms (FAFSA and the CSS PROFILE) students may be eligible for additional costs of attendance, such as standard room and board fees as well as book and other customary expenses. Summer tuition and classes are not included. Students who demonstrate the highest levels of academic ability, motivation, and leadership potential in their application for freshman admission to Santa Clara University will be considered for this prestigious award.  After Johnson Scholars have completed their first year at Santa Clara, they are eligible to apply for up to $10,000 in professional development funds. The funds offer scholars the opportunity to design and complete projects of their own creation that best support their development as a leader and scholar. Experiences may include internships, independent research, and cultural immersion travel. Johnson Scholars must participate in the honors program and maintain a 3.5 grade point average throughout their undergraduate career at Santa Clara. Each year, scholars also are required to complete their FAFSA, be an active participant in Johnson Scholars programming and events, and write a letter to the program sponsor describing and reflecting on their experiences at Santa Clara and development as leaders. For more detailed program requirements, please see our .  Contact us at johnsonscholars@scu.edu.   500 El Camino RealSanta Clara, CA 95053(408) 554-4000 © 2024 Santa Clara University",www.scu.edu
7,https://www.scu.edu/financialaid/types-of-aid/scholarships-and-grants/cal-grants/,"Cal Grant A is a state-funded program for California residents. Recipients are chosen on the basis of both academic achievement and financial need. If selected for an award, you will receive notification from the California Student Aid Commission (CSAC). Cal Grant B is a state-funded program for California residents. Recipients are chosen on the basis of both academic achievement and financial need. If selected for an award, you will receive notification from the California Student Aid Commission (CSAC). NOTE: When you complete the FAFSA (Free Application for Federal Student Aid), California residents should set up their WebGrants for Students account, which will enable them to have the ability to monitor and manage their California State Grant programs. California Dream Act Application (CADAA) students with Cal Grant B award are encouraged to perform community or volunteer service. The California Student Aid Commission (CSAC) will award up to $3,000 per academic year (up to $1,500 per semester or up to $1,000 per quarter) to 2,500 eligible students. The grant will be available to the student for up to 8 semesters or up to 12 quarters while they have an active Cal Grant B award. Students must also meet Satisfactory Academic Progress and complete any necessary verification for their Cal Grant B award. Eligible students must apply annually, attend a qualifying institution, have sufficient unmet financial need, and complete community or volunteer service. Students can volunteer with any of the organization(s) on the List of Service Organizations or with any organization not on the list if it meets the criteria for a qualifying service organization. Organizations not on the List of Service Organizations, can complete and submit the Service Organization Registration form found on the DSIG forms webpage. The California Student Aid Commission also sponsors the Law Enforcement Personnel Dependents Grant program, John R. Justice program, Child Savings Account Grant Program, Chafee Grant for Foster Youth, and the California National Guard Education Assistance Award program.   500 El Camino RealSanta Clara, CA 95053(408) 554-4000 © 2024 Santa Clara University",www.scu.edu
8,https://www.scu.edu/financialaid/types-of-aid/scholarships-and-grants/university-grants/,"The Jesuit Ignatian Award is awarded to first-year undergraduate students who have graduated from a Jesuit high school. SCU Need-based Grant are funded by the University along with donor-funded scholarships and the Santa Clara Fund. It is awarded to first-year undergraduate student by Enrollment Management. The Alumni Family Scholars program is awarded to first-year undergraduate students that are identified from the admission application and decisions are made by the Alumni Family Committee in consultation with the Financial Aid Office. NOTE: For more information regarding this scholarship, visit the Alumni website or contact the Alumni Office at 1-408-554-6800. Santa Clara University Third-Child Grant is for families with three or more dependent children simultaneously enrolled in undergraduate programs at Santa Clara University. A tuition grant of up to fifty percent will be awarded to the student who is farthest along in his or her studies. To apply, parents must submit a written request along with a copy of their most recent tax return that lists all three Santa Clara University undergraduate students as dependents. 500 El Camino RealSanta Clara, CA 95053(408) 554-4000 © 2024 Santa Clara University",www.scu.edu
9,https://www.scu.edu/financialaid/types-of-aid/scholarships-and-grants/merit-scholarships/,"First-year applicants are the only students eligible for merit-based awards. Merit awards are reviewed at the time of admission and no additional application is required to be considered for these awards. Students must also be in good academic standing to keep their awards while at Santa Clara University. The Presidential at Entry Scholarship is awarded to first-year undergraduate students who demonstrate qualities identified and emphasized by the president as critical to the University's mission. The Provost Scholarship is awarded to first-year undergraduate students who have assumed leadership roles in their schools and their communities. The Dean's Scholarship is awarded to first-year undergraduate students who are admitted to the College of Arts & Sciences, School of Business or School of Engineering. The SCU Bronco Scholarship, awarded to first-year undergraduate students by Enrollment Management, is a personal recognition scholarship awarded to selected individuals who will add value to the student body through the diversity of their lived experiences, viewpoints and skills–aiding the university in fostering a strong spirit of inclusive excellence. The Johnson Scholars comprehensive merit award is provided to first-year undergraduate students who demonstrate the highest levels of academic ability, motivation and leadership potential. For more information regarding this scholarship, visit the Johnson Scholars Program webpage. 500 El Camino RealSanta Clara, CA 95053(408) 554-4000 © 2024 Santa Clara University",www.scu.edu
